time,[OPT-101] Ox Fill,[NPT-201] N2 Fill,[FPT-301] Fuel Tank,[OPT-102] Ox Tank,[CCPT-101] Combustion Chamber PT1 (psi),[Load Cell] Tank Mass - Flintec (kg),[Load Cell] Thrust - CAS BSA-5KLB (kg),[INJ-302] FUEL Valve Hall Sensor (mV),[INJ-301] OX Valve Hall Sensor (mV)
2920.0198662281036,603.2085515933989,117.67816199949378,647.49970316876,642.6605893077359,7.56891841889485,78.3517554385943,-19.190804233854315,4700.973114657751,8.189571971183431
2920.0399827957153,599.2876138746034,118.41796136986821,649.4663381287197,642.5533183141284,6.520047362626214,78.31200928307608,-13.356881401256269,4706.457570914585,5.966886508753525
2920.0699796676636,596.0078357896147,120.56337954644297,650.3960201080799,642.7678603054054,6.4962093821657,78.28870980344782,-11.699516963638091,4699.408005977313,4.875271754986245
2920.091958284378,595.8845358581185,119.6756203002577,650.4317771054322,643.6260282756934,5.983692841760157,79.21383602133749,-14.384447356434144,4699.907788552112,4.520168160618272
2920.113955974579,598.597134272751,119.23174067819791,649.0730111325145,643.9835982649826,6.520047359986907,78.34353209426554,-19.58857169885345,4700.591701553662,6.216774223025941
2920.1359078884125,604.5895107870291,120.26745979693435,648.1910051536601,642.6129133099295,7.592756396818199,79.21109490705967,-16.456152902476518,4699.644745090561,8.084356091250205
2920.167882680893,603.0605916756604,123.4239371197797,648.1314101543373,642.7321033052142,7.580837407439474,79.75931785734713,-17.699176229039775,4699.500071186956,8.09750807624372
2920.1878867149353,605.2799903937073,124.48431622042041,648.2029241529883,643.0658352948188,7.664270332562403,79.70449556031105,-19.455982539066127,4699.802571167279,8.215875941178673
2920.217890739441,600.0027534514735,127.54215363192051,646.99910518115,642.1123153263438,7.700027301458949,78.44906501153977,-12.677361981145587,4699.06604947592,7.702948526487913
2920.241684436798,596.6736553946595,131.04387067213722,647.773840163027,641.5521223455448,7.05640187818467,78.5806385189018,-11.550354162206732,4698.671484285312,7.137413171936472
2920.2688751220703,597.2161750769637,130.87125081819332,647.1421331788898,641.6593933424075,7.259024697218362,78.9328717592375,-13.157997672391508,4698.7503973241655,7.610884631597437
2920.289002895355,597.536754896341,134.792187511082,649.1206871327593,642.0884773268906,7.521242461286379,78.56967405840486,-6.810291856453586,4697.816593043125,6.466661937638728
2920.3190116882324,596.5996754398293,136.02518647342038,648.7988741387222,641.1707143583965,6.210153638630618,79.22617103618448,-8.84885012129122,4697.3957235094285,5.966886508300417
2920.340956926346,596.3284155952176,136.96226568497036,650.121883112344,642.0169633298616,6.543885338826197,79.11241477507318,-12.229873584216037,4697.9612669450735,5.217223364398239
2920.3629393577576,595.0954163198003,136.29644624503973,650.2529921091218,643.4472432820447,6.293586563855459,78.97810015239517,-14.086121759676749,4699.342245110905,4.533320145580765
2920.395272254944,597.6847148028526,136.56770601679173,649.859665117855,644.2696542569676,6.233991617411,78.88627281109135,-16.207548241719724,4700.486484168927,5.20407137945211
2920.417205810547,600.9398329200881,136.74032587230388,649.2398771291365,644.4365202519527,7.020644910570147,79.33718618927143,-21.11334698241632,4700.854745016473,6.0852543731860385
2920.439683675766,598.6957742183324,138.26924458491203,648.7511981403794,644.1266262600844,6.186315660007876,79.06170415243724,-18.79303677019722,4700.959962401899,5.664390853715352
2920.4711887836456,600.5699331230712,137.65274510446716,641.6236363461803,644.6033862477072,6.841860071972599,76.77150282296236,-18.544432103269756,4700.828440670197,6.624485757481942
2920.4932959079742,603.5784513786012,139.3049637146279,636.1885725625501,642.7559413061143,10.51290878364295,66.56633376042723,248.35756421234476,4699.907788552655,7.952836241331604
2920.5154366493225,601.2110927580023,141.69698170713832,624.2576542285716,638.3578304714351,28.89199050369315,39.04417832917809,552.6497162626871,4698.368984307511,8.097508076237123
2920.537222146988,595.1200763054408,144.43423941223617,621.7665833927795,626.9394290584746,49.106596971661496,33.741494192043604,751.6826872955697,4697.093223533232,6.335142087825011
2920.56897521019,596.9695752196311,143.84239990945534,615.1277009031123,622.1003153653793,83.21874630173775,101.19895294402225,849.6826868536481,4698.68463646107,5.00679160474943
2920.5963566303253,601.1617727788866,142.28882120976533,607.9882205337422,617.1420117362618,121.91970819861976,119.898842513108,794.2106706330093,4700.907353709519,6.321990102903493
2920.618289709091,602.6413719216483,143.62046009477953,598.8463484723168,607.8809495427581,160.19158802097536,80.06358291272072,866.1237472908109,4699.526375532985,8.031748151281105
2920.6439633369446,595.8352158881171,146.60431759488057,593.0060391400139,600.6461172683197,196.23461806408045,52.360509296709104,864.118334420251,4697.921810426302,6.532421862581596
2920.6658222675323,595.4406561156472,147.31945699711878,590.8606194008182,596.1288167690221,230.60899072761174,79.00414137448466,877.0955045027539,4698.329527788245,5.5328710038836695
2920.6877830028534,595.2926962003605,147.17149712059216,586.8677549132689,592.0763572534605,261.240801156066,96.46367290612915,866.5380873902877,4698.4873538642205,5.6249348987709284
2920.7193813323975,595.0954163203256,147.39343693459426,581.6114766257509,587.7735987931237,286.07998214949833,87.15621645652799,869.1898717375053,4698.632027766664,5.887974598365761
2920.7393691539764,596.2297756605637,145.8645182146134,578.953540006384,585.8784780421848,302.7188965462727,70.91922356633202,837.2027217885624,4700.696918942252,4.9147277099062325
2920.770894050598,605.0087305465984,144.73015916352267,573.2562588602966,582.21934554254,312.55206604531924,65.20811153803861,819.5020610682341,4701.301918906061,7.46621279677225
2920.793766975403,599.484893756831,147.73867664782395,570.8367022399945,578.2860761043237,314.3399150596247,85.63489767492514,838.628055885393,4699.158114687319,7.203173096910511
